team_name,AdjO,AdjD,SOS AdjO,SOS Adj D,eFG%,TOV%,ORB%,FTR,Hgt,%2P,%3P,%FT,Tempo,Blk%,Stl%,Def %FT,Def %2P,Def %3P,NST%,A%,3PA%,HomeAdvantage
Morgan St.,103.2,119.1,102.6,111.2,49.3,18,34.1,39.3,76.2,62.7,16.3,21,67.5,8.4,10.4,20.2,50.7,29,7.6,44.2,21.7,5.36
Green Bay,101.1,117.3,107.1,108.2,50.9,18,18.4,35.4,76.3,42.9,34.9,22.2,68,13.5,9.6,18.2,48.9,32.9,8.5,59.3,46.2,5.36
North Carolina A&T,97.7,113.9,105.5,108.1,45.8,15.4,27,30,76,52.4,28.6,18.9,70.5,9.4,8.4,18.1,51.3,30.6,7,44.4,36,5.36
Fairfield,99.3,115.8,103,109.1,46.5,15.6,29.2,31.6,76.1,49.8,33.3,16.9,68.3,10.2,9,18.4,51.7,29.9,6.6,51.2,38.9,5.36
Southern Indiana,98.7,115.2,102.4,110,47.9,17.2,27.9,35.6,76.5,51,29.9,19.1,61.2,8.2,11,18.9,49.7,31.4,6.2,43.4,33.5,5.36
Western Carolina,95.8,112.8,108,107.6,45.4,19,25.8,34,77.3,43.4,38.7,17.9,65.9,9.4,11.5,19.8,46.4,33.8,7.6,48.8,48.2,5.36
Detroit Mercy,95.5,112.7,107.3,109.4,45.6,19.1,31.9,39.8,77.6,55.9,25.3,18.9,66.3,8.8,10.7,21.8,42.4,35.7,8.4,43.9,28.4,5.36
Sacramento St.,95.2,112.5,106.6,109.6,47.9,20.5,27.7,39.6,76.9,46.1,36,17.9,64.7,10.7,11.8,20.6,43.1,36.2,8.7,53.6,45,5.36
USC Upstate,98.8,116.3,108,108.5,49.8,19,25.3,39.5,76.5,55.8,27.1,17.1,60.7,7.9,10.9,20.3,49.6,30.1,8.1,47.9,36.9,5.36
Buffalo,96.6,114.2,106.5,109.5,48.8,19.5,24.8,31.2,77.6,47.8,33.3,19,64.3,10.3,11.5,17.2,52.9,29.9,8.1,52.9,44,5.36
Bellarmine,104.2,121.9,105.9,109.5,53.7,17.4,20.2,34.8,76.5,47.9,36.2,15.9,67.5,7.4,9.8,18.6,42.6,38.8,7.6,52.4,43.2,5.36
Mercyhurst,99.1,117,101.3,110.3,48.6,16.4,22.2,38.3,75,47.7,31.9,20.4,68,8.2,8.8,19.9,49.1,31.1,7.6,57.5,36.4,5.36
Central Arkansas,98.2,116.2,107.1,109.3,47.4,18.2,28.5,22.6,76.9,45.3,36.7,17.9,73,12.5,11.2,12.6,40.8,46.6,7,56.1,47.8,5.36
Wagner,92.4,110.6,100.7,110.8,43.7,19.4,31.8,39.9,76.6,47.9,32.9,19.3,67.6,9.9,10.9,22.3,44.7,33,8.5,54.8,37.6,5.36
Northern Illinois,94.8,113,106.1,109.4,47.2,16.3,17.8,44,76.6,39.5,41.3,19.2,69.1,9.9,9.4,22.8,46.2,31,6.9,52.1,49.2,5.36
Western Illinois,99.4,117.6,102,109.8,50.2,18.2,27.9,30.6,77.2,49.2,34.9,15.8,65.1,7.5,10.2,18.1,52.5,29.4,8,38.3,37.1,5.36
West Georgia,97.3,115.6,107.2,109.3,47.2,16.2,26.1,36.3,76.4,59.1,23.5,17.4,67.3,7.5,10,18.9,46.3,34.9,6.3,51.1,30.1,5.36
Louisiana Monroe,96.7,115,105,108.3,45,17.1,29,25.1,78,50.8,29.5,19.7,70.6,9.8,11,14.3,49,36.8,6.1,51.5,33.9,5.36
New Orleans,99.6,118.1,107.3,106.3,45.9,18.8,31.6,26.6,75.4,55.7,24.5,19.8,64.3,11.1,11,14.9,49.2,35.9,7.7,50.1,30.7,5.36
Cal St. Fullerton,94.9,113.8,107.8,105.3,44.2,21.5,26.1,34.1,77.2,52.1,22.9,25,70.6,9.6,12,19,45,35.9,9.5,41.3,33.7,5.36
Stetson,99.8,119.1,106.4,110.5,50.2,18.7,24.1,27.7,77.8,50.1,30.3,19.6,69.4,8.4,11.4,16.5,48.5,35.1,7.3,45.5,37.7,5.36
NJIT,93.6,113.8,103.8,110,45.3,18,27.7,38.6,76.6,50.6,31.3,18.1,65.3,10.2,8.7,21,53.2,25.8,9.2,41.9,37.8,5.36
Le Moyne,101.4,122,102.5,109.5,51.5,19.6,25.6,36.9,76.9,48.1,31.3,20.6,74.8,9,10.7,19.8,46.5,33.7,8.9,54.3,41.3,5.36
The Citadel,95.5,117.2,106.2,109,46.9,19.5,27.2,32.8,76.8,47.5,34.6,17.9,69.1,11.6,11.9,18.3,48.4,33.3,7.6,52.2,45.2,5.36
Prairie View A&M,96.1,117.8,104.3,108.7,48.2,16.7,24.1,41.4,75,53.4,26.6,20,69.3,9.4,8.7,20.4,55.4,24.2,7.9,47.1,33.3,5.36
New Hampshire,94,115.8,104.6,110.5,47.3,19.1,27.7,33.3,77.2,49.9,34.6,15.4,70,12.6,10.2,17.8,51.4,30.8,8.9,46.4,40.6,5.36
Alabama A&M,92.6,115.4,102.1,111.8,45,21.9,34.6,47.4,76.7,45.2,32.3,22.5,63.5,8.7,12.2,23.4,45.8,30.8,9.7,52.1,41.4,5.36
Maryland Eastern Shore,95.7,118.8,105.9,108.8,45.4,20,27.1,40.6,76.8,49.2,29.8,21,66.5,8.9,10.9,20.7,51.7,27.5,9.1,45.6,37,5.36
Canisius,99.6,122.8,103.6,108.3,51.4,18.5,18.2,30.8,76.9,47.6,37.6,14.8,73.4,9.8,9.4,16.9,51,32.1,9.2,47.2,41.1,5.36
Chicago St.,92.3,116.7,104.8,107.8,44.4,18.5,22.6,36.9,77.1,47.7,34.8,17.5,67.3,8.9,9.9,19.5,49.5,31,8.6,48.5,40.9,5.36
Coppin St.,87.6,112.5,106,110.1,43.8,21.4,26.3,37.6,76.8,52.7,25,22.3,68.4,13.1,11.3,19.4,50,30.7,10.1,51.1,32.5,5.36
Arkansas Pine Bluff,95.4,121.9,101.9,109.9,50.2,20.4,26.1,41,77.2,54.2,29.4,16.4,70.7,9.2,12.8,20.2,45.8,34,7.6,51.9,38,5.36
Mississippi Valley St.,82.7,126.5,104.7,107.5,41.8,24.4,22.8,38.1,76.1,55.9,24.3,19.8,68.9,10.5,14.5,18.3,50.3,31.4,9.9,40.7,30.3,5.36
